"","V1","V2","V3","V4"
"1","POP_2020","POP_2021","NAME","state"
"2","3962031","3986639","Oklahoma","40"
"3","1961455","1963692","Nebraska","31"
"4","1451911","1441553","Hawaii","15"
"5","887099","895376","South Dakota","46"
"6","6920119","6975218","Tennessee","47"
"7","3114071","3143991","Nevada","32"
"8","2117566","2115877","New Mexico","35"
"9","3188669","3193079","Iowa","19"
"10","2935880","2934582","Kansas","20"
"11","690093","670050","District of Columbia","11"
"12","29217653","29527941","Texas","48"
"13","6154481","6168187","Missouri","29"
"14","3012232","3025891","Arkansas","05"
"15","10067664","10050811","Michigan","26"
"16","1377848","1388992","New Hampshire","33"
"17","10457177","10551162","North Carolina","37"
"18","11790587","11780017","Ohio","39"
"19","5130729","5190705","South Carolina","45"
"20","577267","578803","Wyoming","56"
"21","39499738","39237836","California","06"
"22","778962","774948","North Dakota","38"
"23","4651203","4624047","Louisiana","22"
"24","6172679","6165129","Maryland","24"
"25","991886","1003384","Delaware","10"
"26","12989625","12964056","Pennsylvania","42"
"27","10725800","10799566","Georgia","13"
"28","4241544","4246155","Oregon","41"
"29","5707165","5707390","Minnesota","27"
"30","5784308","5812069","Colorado","08"
"31","9279743","9267130","New Jersey","34"
"32","4503958","4509394","Kentucky","21"
"33","7718785","7738692","Washington","53"
"34","1362280","1372247","Maine","23"
"35","642495","645570","Vermont","50"
"36","1847772","1900923","Idaho","16"
"37","6785644","6805985","Indiana","18"
"38","1086193","1104271","Montana","30"
"39","20154933","19835913","New York","36"
"40","3281538","3263584","Puerto Rico","72"
"41","3600260","3605597","Connecticut","09"
"42","21569932","21781128","Florida","12"
"43","8632044","8642274","Virginia","51"
"44","7022220","6984723","Massachusetts","25"
"45","12785245","12671469","Illinois","17"
"46","2956870","2949965","Mississippi","28"
"47","7177986","7276316","Arizona","04"
"48","3281684","3337975","Utah","49"
"49","5892323","5895908","Wisconsin","55"
"50","5024803","5039877","Alabama","01"
"51","1789798","1782959","West Virginia","54"
"52","1096229","1095610","Rhode Island","44"
"53","732441","732673","Alaska","02"
